date,RSI
2014-01-17,67.4479
2014-01-21,72.1113
2014-01-22,74.6779
2014-01-23,74.7376
2014-01-24,75.3492
2014-01-27,74.9671
2014-01-28,78.2223
2014-01-29,73.3796
2014-01-30,71.4817
2014-01-31,68.7589
2014-02-03,63.6544
2014-02-04,63.1915
2014-02-05,63.3784
2014-02-06,64.5163
2014-02-07,65.9992
2014-02-10,66.4603
2014-02-11,69.8977
2014-02-12,71.941
2014-02-13,72.3795
2014-02-14,70.4478
2014-02-18,70.2505
2014-02-19,69.0291
2014-02-20,69.2169
2014-02-21,72.389
2014-02-24,73.0388
2014-02-25,73.6907
2014-02-26,74.1026
2014-02-27,75.8536
2014-02-28,76.9711
2014-03-03,77.4112
2014-03-04,83.2102
2014-03-05,85.7521
2014-03-06,87.4051
2014-03-07,88.0563
2014-03-10,76.9944
2014-03-11,66.0162
2014-03-12,58.693
2014-03-13,62.3851
2014-03-14,63.7946
2014-03-17,68.6842
2014-03-18,62.5105
2014-03-19,55.9351
2014-03-20,55.4113
2014-03-21,52.1095
2014-03-24,52.8974
2014-03-25,57.9356
2014-03-26,56.7803
2014-03-27,53.4867
2014-03-28,56.3914
2014-03-31,58.3861
2014-04-01,60.9132
2014-04-02,61.3339
2014-04-03,51.6737
2014-04-04,48.8512
2014-04-07,48.8512
2014-04-08,54.534
2014-04-09,52.4051
2014-04-10,47.8742
2014-04-11,52.0117
2014-04-14,51.9514
2014-04-15,45.4132
2014-04-16,46.0192
2014-04-17,44.9169
2014-04-21,51.2916
2014-04-22,48.0683
2014-04-23,48.5223
2014-04-24,51.3751
2014-04-25,44.7693
2014-04-28,47.5223
2014-04-29,46.98
2014-04-30,50.5444
2014-05-01,54.7197
2014-05-02,53.288
2014-05-05,48.8863
2014-05-06,45.6633
2014-05-07,44.8513
2014-05-08,41.7675
2014-05-09,41.0561
2014-05-12,43.84
2014-05-13,44.1355
2014-05-14,43.0391
2014-05-15,43.2327
2014-05-16,42.2747
2014-05-19,46.7827
2014-05-20,46.7827
2014-05-21,47.5717
2014-05-22,49.6035
2014-05-23,50.7695
2014-05-27,54.6366
2014-05-28,53.2391
2014-05-29,50.7783
2014-05-30,50.977
2014-06-02,50.5473
2014-06-03,50.1763
2014-06-04,51.5974
2014-06-05,54.4991
2014-06-06,60.9651
2014-06-09,61.9411
2014-06-10,61.9967
2014-06-11,61.3368
2014-06-12,60.6572
2014-06-13,61.7409
2014-06-16,62.1284
2014-06-17,58.2955
2014-06-18,61.5981
2014-06-19,63.1648
2014-06-20,62.7337
2014-06-23,58.1399
2014-06-24,58.647
2014-06-25,60.1007
2014-06-26,60.8255
2014-06-27,61.3429
2014-06-30,63.2413
2014-07-01,58.5825
2014-07-02,60.7149
2014-07-03,59.3367
2014-07-07,53.384
2014-07-08,48.9531
2014-07-09,49.5046
2014-07-10,46.7573
2014-07-11,46.2346
2014-07-14,44.3221
2014-07-15,38.9966
2014-07-16,38.433
2014-07-17,40.361
2014-07-18,41.1597
2014-07-21,42.548
2014-07-22,44.7218
2014-07-23,42.5796
2014-07-24,42.5796
2014-07-25,47.353
2014-07-28,48.128
2014-07-29,43.3321
2014-07-30,42.705
2014-07-31,44.2814
2014-08-01,48.4183
2014-08-04,52.1575
2014-08-05,50.0363
2014-08-06,54.6913
2014-08-07,53.7038
2014-08-08,51.6321
2014-08-11,52.4451
2014-08-12,50.2234
2014-08-13,48.598
2014-08-14,45.0195
2014-08-15,49.0791
2014-08-18,52.4658
2014-08-19,53.7416
2014-08-20,53.8419
2014-08-21,51.2674
2014-08-22,52.7798
2014-08-25,53.6452
2014-08-26,54.0881
2014-08-27,54.7703
2014-08-28,54.3453
2014-08-29,54.7152
2014-09-02,57.9435
2014-09-03,60.8792
2014-09-04,63.0107
2014-09-05,65.1968
2014-09-08,68.2067
2014-09-09,64.6741
2014-09-10,63.6822
2014-09-11,64.4475
2014-09-12,64.4475
2014-09-15,64.2599
2014-09-16,65.3223
2014-09-17,66.272
2014-09-18,64.215
2014-09-19,62.3808
2014-09-22,62.173
2014-09-23,48.293
2014-09-24,46.0495
2014-09-25,41.8374
2014-09-26,45.4397
2014-09-29,44.7109
2014-09-30,39.7857
2014-10-01,38.9642
2014-10-02,43.4218
2014-10-03,46.4054
2014-10-06,44.1862
2014-10-07,36.8618
2014-10-08,38.9908
2014-10-09,36.2462
2014-10-10,32.2176
2014-10-13,29.7075
2014-10-14,33.8788
2014-10-15,38.6085
2014-10-16,46.7377
2014-10-17,42.1194
2014-10-20,42.7252
2014-10-21,52.2774
2014-10-22,45.5948
2014-10-23,49.8921
2014-10-24,52.6096
2014-10-27,53.7321
2014-10-28,58.6451
2014-10-29,62.5705
2014-10-30,64.7487
2014-10-31,62.8642
2014-11-03,59.3092
2014-11-04,56.1172
2014-11-05,55.3874
2014-11-06,59.1352
2014-11-07,62.2722
2014-11-10,61.3283
2014-11-11,62.5724
2014-11-12,62.3192
2014-11-13,60.6818
2014-11-14,59.7255
2014-11-17,58.4906
2014-11-18,60.5162
2014-11-19,60.0488
2014-11-20,59.8542
2014-11-21,54.2128
2014-11-24,60.1723
2014-11-25,62.3585
2014-11-26,62.7994
2014-11-28,60.9215
2014-12-01,62.1718
2014-12-02,58.9571
2014-12-03,55.0777
2014-12-04,56.8574
2014-12-05,52.9507
2014-12-08,52.8676
2014-12-09,51.0945
2014-12-10,48.4862
2014-12-11,49.7519
2014-12-12,50.1814
2014-12-15,50.36
2014-12-16,44.2618
2014-12-17,53.9176
2014-12-18,57.2321
2014-12-19,58.8214
2014-12-22,60.6565
2014-12-23,62.5816
2014-12-24,60.7413
2014-12-26,58.6534
2014-12-29,58.1956
2014-12-30,55.9878
2014-12-31,56.566
2015-01-02,51.6552
2015-01-05,46.5505
2015-01-06,48.1839
2015-01-07,51.3894
2015-01-08,53.2459
2015-01-09,59.9446
2015-01-12,63.2489
2015-01-13,62.1179
2015-01-14,62.5517
2015-01-15,61.1692
2015-01-16,59.0624
2015-01-20,58.4178
2015-01-21,59.4169
2015-01-22,63.3137
2015-01-23,66.1887
2015-01-26,67.0603
2015-01-27,67.1128
2015-01-28,58.3948
2015-01-29,62.2252
2015-01-30,61.0596
2015-02-02,61.9822
2015-02-03,65.8661
2015-02-04,67.3107
2015-02-05,67.8831
2015-02-06,67.779
2015-02-09,70.45
2015-02-10,71.3431
2015-02-11,71.8359
2015-02-12,72.2919
2015-02-13,73.337
2015-02-17,74.5663
2015-02-18,77.0343
2015-02-19,80.1705
2015-02-20,80.5491
2015-02-23,80.7867
2015-02-24,81.5291
2015-02-25,81.6485
2015-02-26,83.4759
2015-02-27,85.2587
2015-03-02,86.9572
