date,RSI
2014-01-09,68.0511
2014-01-10,68.1607
2014-01-13,66.6833
2014-01-14,68.4042
2014-01-15,65.0444
2014-01-16,68.9596
2014-01-17,67.3864
2014-01-21,73.9045
2014-01-22,77.2025
2014-01-23,77.2779
2014-01-24,78.0596
2014-01-27,77.4854
2014-01-28,81.5727
2014-01-29,74.546
2014-01-30,71.8312
2014-01-31,67.9546
2014-02-03,60.8783
2014-02-04,60.2449
2014-02-05,60.5397
2014-02-06,62.3437
2014-02-07,64.6633
2014-02-10,65.381
2014-02-11,70.5365
2014-02-12,73.4145
2014-02-13,74.0218
2014-02-14,71.1065
2014-02-18,70.8062
2014-02-19,68.9252
2014-02-20,69.2187
2014-02-21,73.9828
2014-02-24,74.912
2014-02-25,75.8412
2014-02-26,76.4289
2014-02-27,78.8648
2014-02-28,80.3555
2014-03-03,80.9348
2014-03-04,87.661
2014-03-05,90.1354
2014-03-06,91.6249
2014-03-07,92.1918
2014-03-10,77.3148
2014-03-11,63.4484
2014-03-12,54.6702
2014-03-13,59.7155
2014-03-14,61.6191
2014-03-17,68.0543
2014-03-18,60.4688
2014-03-19,52.6212
2014-03-20,52.0008
2014-03-21,48.0765
2014-03-24,49.1779
2014-03-25,56.1124
2014-03-26,54.6608
2014-03-27,50.5315
2014-03-28,54.564
2014-03-31,57.2975
2014-04-01,60.7154
2014-04-02,61.2834
2014-04-03,48.7563
2014-04-04,45.2825
2014-04-07,45.2825
2014-04-08,53.2589
2014-04-09,50.5048
2014-04-10,44.7635
2014-04-11,50.504
2014-04-14,50.4256
2014-04-15,42.1187
2014-04-16,42.976
2014-04-17,41.5831
2014-04-21,50.5434
2014-04-22,46.3306
2014-04-23,46.9654
2014-04-24,50.948
2014-04-25,42.296
2014-04-28,46.1156
2014-04-29,45.4036
2014-04-30,50.3565
2014-05-01,55.9626
2014-05-02,53.978
2014-05-05,47.9866
2014-05-06,43.7421
2014-05-07,42.6815
2014-05-08,38.696
2014-05-09,37.7862
2014-05-12,41.8565
2014-05-13,42.289
2014-05-14,40.7859
2014-05-15,41.08
2014-05-16,39.7337
2014-05-19,46.5809
2014-05-20,46.5809
2014-05-21,47.7776
2014-05-22,50.8414
2014-05-23,52.5811
2014-05-27,58.1617
2014-05-28,55.9121
2014-05-29,52.0123
2014-05-30,52.3108
2014-06-02,51.6192
2014-06-03,51.0139
2014-06-04,53.2569
2014-06-05,57.6883
2014-06-06,66.6312
2014-06-09,67.8843
2014-06-10,67.9563
2014-06-11,66.827
2014-06-12,65.652
2014-06-13,67.162
2014-06-16,67.7018
2014-06-17,61.0394
2014-06-18,65.8345
2014-06-19,67.9985
2014-06-20,67.2644
2014-06-23,59.6372
2014-06-24,60.4064
2014-06-25,62.5994
2014-06-26,63.6826
2014-06-27,64.4585
2014-06-30,67.2569
2014-07-01,59.4958
2014-07-02,62.7373
2014-07-03,60.5026
2014-07-07,51.3162
2014-07-08,45.0081
2014-07-09,45.9033
2014-07-10,42.0909
2014-07-11,41.3747
2014-07-14,38.7696
2014-07-15,31.9706
2014-07-16,31.2855
2014-07-17,34.4975
2014-07-18,35.8277
2014-07-21,38.1466
2014-07-22,41.7365
2014-07-23,38.6825
2014-07-24,38.6825
2014-07-25,46.4466
2014-07-28,47.665
2014-07-29,40.5655
2014-07-30,39.6746
2014-07-31,42.213
2014-08-01,48.656
2014-08-04,54.1601
2014-08-05,50.8958
2014-08-06,57.5141
2014-08-07,55.9903
2014-08-08,52.8093
2014-08-11,53.9945
2014-08-12,50.5748
2014-08-13,48.1136
2014-08-14,42.8711
2014-08-15,49.0237
2014-08-18,53.9225
2014-08-19,55.7275
2014-08-20,55.8707
2014-08-21,51.8938
2014-08-22,54.1313
2014-08-25,55.4077
2014-08-26,56.0659
2014-08-27,57.0892
2014-08-28,56.3821
2014-08-29,56.9562
2014-09-02,61.8265
2014-09-03,65.9727
2014-09-04,68.8318
2014-09-05,71.6423
2014-09-08,75.2933
2014-09-09,69.5107
2014-09-10,67.906
2014-09-11,68.9357
2014-09-12,68.9357
2014-09-15,68.6165
2014-09-16,70.107
2014-09-17,71.4224
2014-09-18,67.8498
2014-09-19,64.7124
2014-09-22,64.3563
2014-09-23,43.3106
2014-09-24,40.3636
2014-09-25,35.0724
2014-09-26,40.8029
2014-09-29,39.8558
2014-09-30,33.6818
2014-10-01,32.6902
2014-10-02,39.6285
2014-10-03,44.1204
2014-10-06,41.138
2014-10-07,31.9555
2014-10-08,35.0768
2014-10-09,31.7326
2014-10-10,27.0466
2014-10-13,24.2601
2014-10-14,30.2159
2014-10-15,36.8151
2014-10-16,47.6266
2014-10-17,41.5967
2014-10-20,42.3955
2014-10-21,54.5548
2014-10-22,45.8528
2014-10-23,51.1961
2014-10-24,54.5288
2014-10-27,55.9069
2014-10-28,61.8411
2014-10-29,66.4091
2014-10-30,68.8894
2014-10-31,66.3091
2014-11-03,61.4587
2014-11-04,57.1564
2014-11-05,56.1716
2014-11-06,61.0179
2014-11-07,64.9433
2014-11-10,63.629
2014-11-11,65.2087
2014-11-12,64.8447
2014-11-13,62.4667
2014-11-14,61.0703
2014-11-17,59.2548
2014-11-18,62.1138
2014-11-19,61.4107
2014-11-20,61.1127
2014-11-21,52.7112
2014-11-24,61.3429
